,id,followers,genres,name,popularity
9820,3X3XK9kN9PNmW3zc7tsVzn,80215,['cumbia sonidera'],Carro Show,46
9821,6CXEwIaXYfVJ84biCxqc9k,2928985,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",Vishal Dadlani,70
9822,04aK7SPCi0hYLpchhD3Y0c,1274,"['cello', 'classical cello', 'historic classical performance']",Gregor Piatigorsky,22
9823,497ma3Q1UnHPhvRQKyoxW2,78126,"['cumbia chilena', 'cumbia ranchera']",Amerika'n Sound,51
9824,62sPt3fswraiEPnKQpAbdE,749845,"['funk', 'hip hop', 'new jack swing', 'quiet storm', 'r&b', 'rap', 'urban contemporary']",Bobby Brown,61
9825,5ecXGNDkVKndKd0lvODR89,15123,"['c-pop', 'classic mandopop', 'vintage chinese pop']",Daniel Lo,43
9826,2ae6PxICSOZHvjqiCcgon8,1385393,['filmi'],S. P. Balasubrahmanyam,70
9827,4monxaihAuYJfK2CxJdtoY,17598,['kayokyoku'],Kai Band,37
9828,0ZXDvZqBzwZLsHRXhuTbpR,206075,['polish pop'],Cleo,52
9829,2TtFAgogwuEBvXe7DecRzq,37,[],Ehsaan,43
9830,7kR1Yw4RqYhhDD3a8QRyG6,79003,"['hip hop tuga', 'rap criolo']",Julinho Ksd,55
9831,58etTNn7xmsQZhjnfjpAXL,189960,"['alternative rock', 'funk metal', 'rock']",Porno for Pyros,48
9832,1d5Y2zrhRQ6R0plv652L67,46275,"['danish hip hop', 'danish pop']",Ukendt Kunstner,54
9833,6ynopZPMBXcIGBI9M02Un5,497524,"['deep german hip hop', 'german hip hop']",Haftbefehl,69
9834,2JI8ViuZDBybY6Xd9ujUrb,115273,"['opm', 'pinoy indie']",Reese Lansangan,51
9835,2DBcgbvakjiv4Yi9bRyjVX,96021,"['j-poprock', 'j-punk', 'j-rock', 'japanese alternative rock', 'japanese garage rock', 'japanese punk rock', 'japanese rockabilly']",Thee Michelle Gun Elephant,43
9836,7xTcuBOIAAIGDOSvwYFPzk,205029,"['canadian pop', 'neo mellow', 'pop rock']",Daniel Powter,64
9837,78SHxLdtysAXgywQ4vE0Oa,1282491,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",Bush,66
9838,2x0jMwWdICvSU2qqAh30h5,37923,"['banda', 'tecnobanda']",Banda Vallarta Show,51
9839,7A4lxhDbgt7G1M9F31jYFs,3030,['thai teen pop'],เค-โอติก,37
9840,5QTE68OLdj1R0awoZdVatw,420,[],Jarno Sarjanen,18
9841,3kzGeGPP5gd5KAMm6QggHV,180154,"['bhajan', 'classic bollywood', 'filmi', 'ghazal', 'sufi']",Anup Jalota,48
9842,3pONzjQKqFrh3zTQBTMeWd,313251,"['russian drill', 'russian emo rap', 'russian hip hop', 'russian trap']",THRILL PILL,56
9843,2cJtypBeyJPQUtGh5sYKuc,1748,['dansband'],Dannys,19
9844,0hXEo26JJ0u5lD763cTvRW,69845,"['c-pop', 'chinese audiophile', 'classic mandopop', 'taiwan campus folk', 'vintage chinese pop']",Tsai Chin,49
